year,schedule,slc_pattern,line_id,column_id,heading,change_type,severity,description,source
2022,72B,72 2099 xx,2099,,Continuity of Taxes Receivable,updated_line,minor,Rebates for Charities (Mun. Act 361) on line 2099.,pdf_changelog
2022,72B,72 2299 xx,2299,,Continuity of Taxes Receivable,updated_line,minor,Vacant Unit Rebates (Mun. Act 364) on line 2299.,pdf_changelog
2022,72B,72 2301 xx,2301,,Continuity of Taxes Receivable,updated_line,minor,Contaminated Property (Mun. Act  365.1) on line 2301.,pdf_changelog
2022,72B,72 2399 xx,2399,,Continuity of Taxes Receivable,updated_line,minor,Reduction for Heritage Property (Mun. Act 365.2) on line 2399.,pdf_changelog
2022,72B,72 2400 xx,2400,,Continuity of Taxes Receivable,updated_line,minor,Change in Assessment (Mun. Act 365.3) on line 2400.,pdf_changelog
2022,81,81 2256 01,2256,01,,updated_line,minor,Defered revenue earned (Community Benefits) on SLC 81 2256 01 is referenced to SLC 10 1815 01.,pdf_changelog
2023,71,,,,Statement of Remeasurement Gains & Losses,new_schedule,major,This schedule captures the portfolio gains and losses.,pdf_changelog
2023,74E,,,,Asset Retirement Obligation Liability,new_schedule,major,"This section, captures the Asset Retirement Obligation Liability by functional classifications.",pdf_changelog
2023,51C,,,,Construction-in-progress - detail eliminated,deleted_schedule,major,Replaced with one line on schedule 51B,pdf_changelog
2023,79,,,,Community Improvement Plans,deleted_schedule,major,This schedule has been eliminated.,pdf_changelog
2023,80B,,,,Schedule 80B - Section 7: Alternate service delivery arrangements,deleted_schedule,major,This schedule has been eliminated.,pdf_changelog
2023,10,10 1888 01,1888,01,Vacant Home Tax,new_line,minor,Vacant Home Tax line added to capture Vacant Home Tax Revenue.,pdf_changelog
2023,10,10 2099 01,2099,01,"Annual Surplus/(Deficit), Before Remeasurement Gains (Losses)",updated_line,minor,Updated language,pdf_changelog
2023,10,10 2060 01,2060,01,"Accumulated Surplus/(Deficit), Before Remeasurement Gains (Losses) at the beginning of year",updated_line,minor,Updated language,pdf_changelog
2023,10,10 9950 01,9950,01,"Accumulated Surplus/(Deficit), Before Remeasurement Gains (Losses) at the end of year",updated_line,minor,Updated language,pdf_changelog
2023,10,10 4205 01,4205,01,Canada Community - Building Fund for Operating Expenses: Capacity Building,updated_line,minor,Canada Community- Building Fund (Federal Gas Tax) - now captures only these lines.,pdf_changelog
2023,10,10 4099 01,4099,01,Canada Community - Building Fund for Capital Expenses,updated_line,minor,Canada Community- Building Fund (Federal Gas Tax) - now captures only these lines.,pdf_changelog
2023,10,10 4299 01,4299,01,Canada Community - Building Fund Recognized in the Year,updated_line,minor,Canada Community- Building Fund (Federal Gas Tax) - now captures only these lines.,pdf_changelog
2023,12,12 0632 xx,0632,,Transit - Accessible,updated_line,minor,"Updated language, applies to schedule 12, 40 & 51A.",pdf_changelog
2023,40,40 0632 xx,0632,,Transit - Accessible,updated_line,minor,"Updated language, applies to schedule 12, 40 & 51A.",pdf_changelog
